S. No. (Col. 1),City (Col. 2),Cases Pending Trial from the Previous Year (Col. 3),Cases Sent for Trial during the year (Col. 4),Total Cases for Trial (Col. 5) = (Col.3+Col.4),Cases Abated by Court (Col. 6),Cases Withdrawn From Prosecution (Col. 7),Cases Compounded or Compromised (Col. 8),Cases Disposed off by Plea Bargaining (Col. 9),Cases Quashed (Col. 10),Cases Disposed off Without Trial (Col. 11) = (Col.6+Col.7+Col.8+Col.9+Col.10),Cases Stayed or Sent to Record Room (Col. 12),Cases Convicted Out of Cases from Previous Year (Col. 13),Cases Convicted Out of Cases during the Year (Col. 14),Cases Convicted (Col. 15) = (Col.13+Col.14),Cases Discharged (Col. 16),Cases Acquitted (Col. 17),Cases in which Trials were Completed (Col. 18) = (Col.15+Col.16+ Col.17),Cases Disposed off by Courts (Col. 19) = (Col.11+Col.18),Cases Pending Trial at End of the Year (Col. 20) = (Col.5 - Col.19),Conviction Rate (Col. 21) = (Col.15/Col.18) *100,Pendency Percentage (Col. 22) = (Col.20/Col.5) *100
1,Ahmedabad (Gujarat),12560,1465,14025,0,1,1,0,0,2,7,26,0,26,29,413,468,470,13555,5.6,96.6
2,Bengaluru (Karnataka),12014,2366,14380,16,0,115,0,46,177,35,60,8,68,2,1409,1479,1656,12724,4.6,88.5
3,Chennai (Tamil Nadu),1709,384,2093,7,0,6,0,12,25,0,33,5,38,0,163,201,226,1867,18.9,89.2
4,Coimbatore (Tamil Nadu),408,79,487,0,0,0,0,0,0,0,34,9,43,0,75,118,118,369,36.4,75.8
5,Delhi ,48152,9449,57601,24,41,185,30,666,946,79,1443,11,1454,230,1866,3550,4496,53105,41,92.2
6,Ghaziabad (Uttar Pradesh),2804,706,3510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3510,,100
7,Hyderabad (Telangana),5109,2649,7758,0,0,1204,0,39,1243,72,139,24,163,0,541,704,1947,5811,23.2,74.9
8,Indore (Madhya Pradesh),3571,1331,4902,0,0,268,0,0,268,0,82,9,91,0,369,460,728,4174,19.8,85.1
9,Jaipur (Rajasthan),9046,1592,10638,0,0,0,30,1,31,0,89,10,99,336,186,621,652,9986,15.9,93.9
10,Kanpur (Uttar Pradesh),3231,1159,4390,0,0,0,0,0,0,0,341,0,341,0,266,607,607,3783,56.2,86.2
11,Kochi (Kerala),3570,349,3919,0,0,0,0,0,0,0,22,0,22,0,124,146,146,3773,15.1,96.3
12,Kolkata (West Bengal),7279,1777,9056,0,0,0,0,0,0,0,41,11,52,0,95,147,147,8909,35.4,98.4
13,Kozhikode (Kerala),851,366,1217,1,0,0,0,22,23,50,20,0,20,1,155,176,199,1018,11.4,83.6
14,Lucknow (Uttar Pradesh),6493,1567,8060,0,0,0,0,0,0,0,152,0,152,47,0,199,199,7861,76.4,97.5
15,Mumbai (Maharashtra),19524,4267,23791,30,14,191,0,26,261,0,304,52,356,23,783,1162,1423,22368,30.6,94
16,Nagpur (Maharashtra),8517,666,9183,14,2,19,0,0,35,0,0,34,34,0,322,356,391,8792,9.6,95.7
17,Patna (Bihar),4532,705,5237,0,0,0,0,0,0,0,14,0,14,0,677,691,691,4546,2,86.8
18,Pune (Maharashtra),12420,1172,13592,0,1,43,0,2,46,0,48,10,58,8,384,450,496,13096,12.9,96.4
19,Surat (Gujarat),5810,931,6741,0,0,0,0,0,0,0,0,1,1,0,6,7,7,6734,14.3,99.9
TOTAL CITIES,TOTAL CITIES,167600,32980,200580,92,59,2032,60,814,3057,243,2848,184,3032,676,7834,11542,14599,185981,26.3,92.7
