Category,State/UT,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total
State,Andhra Pradesh,17241,4092,21333,25567,6281,31848,842,76,918,483,63,546,10806,2533,13339
State,Arunachal Pradesh,297,4,301,188,0,188,6,0,6,6,0,6,4,0,4
State,Assam,44017,215,44232,20444,174,20618,310,0,310,234,0,234,7889,44,7933
State,Bihar,18792,1812,20604,16535,1954,18489,661,33,694,102,6,108,3559,154,3713
State,Chhattisgarh,8372,900,9272,8318,912,9230,2148,152,2300,795,32,827,3913,265,4178
State,Goa,280,22,302,354,46,400,17,5,22,22,2,24,139,25,164
State,Gujarat,12867,4189,17056,13823,4666,18489,323,41,364,97,34,131,6314,1704,8018
State,Haryana,11570,1157,12727,11171,1075,12246,1142,25,1167,0,0,0,6421,424,6845
State,Himachal Pradesh,1390,264,1654,1735,330,2065,117,4,121,3,0,3,550,83,633
State,Jammu & Kashmir,4162,316,4478,4164,297,4461,70,0,70,17,0,17,2349,157,2506
State,Jharkhand,6781,692,7473,6172,477,6649,1133,33,1166,75,6,81,1562,43,1605
State,Karnataka,18907,5083,23990,19317,5193,24510,434,40,474,762,74,836,10434,2380,12814
State,Kerala,12682,1000,13682,12212,1130,13342,662,21,683,48,4,52,4374,384,4758
State,Madhya Pradesh,27676,3974,31650,33541,6008,39549,5578,480,6058,4855,336,5191,11132,1253,12385
State,Maharashtra,37387,6162,43549,40353,8792,49145,1884,162,2046,260,59,319,16419,4107,20526
State,Manipur,238,18,256,171,7,178,29,0,29,4,0,4,17,0,17
State,Meghalaya,842,9,851,780,12,792,406,0,406,85,0,85,225,0,225
State,Mizoram,180,1,181,166,1,167,105,0,105,3,0,3,11,0,11
State,Nagaland,57,2,59,48,2,50,5,0,5,0,0,0,6,0,6
State,Odisha,12495,864,13359,21592,1604,23196,418,1,419,0,0,0,4972,234,5206
State,Punjab,5598,877,6475,4686,555,5241,852,63,915,121,18,139,2610,288,2898
State,Rajasthan,25381,1524,26905,27599,1744,29343,7334,296,7630,2528,185,2713,6304,462,6766
State,Sikkim,133,0,133,117,0,117,16,0,16,3,0,3,20,0,20
State,Tamil Nadu,7505,1162,8667,5613,703,6316,770,62,832,35,2,37,3759,601,4360
State,Telangana,13597,1706,15303,21035,3566,24601,744,50,794,0,0,0,8682,994,9676
State,Tripura,754,64,818,1183,130,1313,144,5,149,0,0,0,720,91,811
State,Uttar Pradesh,76628,6954,83582,93482,9640,103122,14581,998,15579,1907,189,2096,11876,1372,13248
State,Uttarakhand,1941,174,2115,2267,227,2494,688,46,734,14,0,14,592,45,637
State,West Bengal,20177,1690,21867,40453,3253,43706,429,15,444,107,2,109,13794,1659,15453
State,TOTAL STATE(S),387947,44927,432874,433086,58779,491865,41848,2608,44456,12566,1012,13578,139453,19302,158755
UT,A & N Islands,132,4,136,131,4,135,11,0,11,10,1,11,73,5,78
UT,Chandigarh,360,51,411,236,16,252,47,1,48,0,0,0,95,3,98
UT,D & N Haveli,79,5,84,69,3,72,0,0,0,0,0,0,56,3,59
UT,Daman & Diu,34,2,36,29,1,30,0,0,0,0,0,0,8,0,8
UT,Delhi,12999,817,13816,12069,1125,13194,1593,47,1640,274,33,307,2173,58,2231
UT,Lakshadweep,36,0,36,17,0,17,0,0,0,0,0,0,4,0,4
UT,Puducherry,135,8,143,135,8,143,9,0,9,0,0,0,0,0,0
UT,TOTAL UT(S),13775,887,14662,12686,1157,13843,1660,48,1708,284,34,318,2409,69,2478
TOTAL ALL INDIA,TOTAL ALL INDIA,401722,45814,447536,445772,59936,505708,43508,2656,46164,12850,1046,13896,141862,19371,161233
