"STATE/UT","Year","Cases Pending Investigation from Previous Year","Cases reported during the year","No. of cases withdrawn by the Govt. during investigation","Cases not investigated or in which investigation was refused","Cases declared false on account of mistake of fact or of law","Cases in which chargesheets were laid","Cases in which charge-sheets were not laid but final report submitted during the year","Total cases (Chargesheeted + Final Report submitted)","Cases pending investigation at the end of the year","Cases pending trial from the previous year","Cases sent for trial during the year","No. of cases withdrawn by the Govt.","Total cases for trial during the year","Cases compounded or withdrawn","Cases in which trials were completed","Cases convicted","Cases acquitted or discharged","Cases pending trial at the end of the year"
"DELHI","2006",81,137,0,0,4,134,9,143,71,707,134,0,841,0,120,47,73,721
"LAKSHADWEEP","2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2006",7,3,0,0,0,7,0,7,3,10,7,0,17,0,4,2,2,13
"TOTAL (UTs)","2006",90,151,0,0,4,151,9,160,77,724,151,0,875,0,127,49,78,748
"TOTAL (ALL-INDIA)","2006",3411,7618,2,12,297,6220,400,6620,4098,23493,6220,0,29713,102,5428,1830,3598,24183
"ANDHRA PRADESH","2007",280,613,0,0,38,573,9,582,273,1044,573,0,1617,14,542,97,445,1061
"ARUNACHAL PRADESH","2007",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ASSAM","2007",153,100,0,0,1,72,19,91,161,195,72,0,267,0,59,20,39,208
"BIHAR","2007",1684,1172,0,0,117,1028,139,1167,1572,3045,1028,0,4073,5,642,167,475,3426
"CHHATTISGARH","2007",14,100,0,0,1,106,1,107,6,292,106,0,398,1,88,23,65,309
"GOA","2007",1,2,0,0,0,0,0,0,3,5,0,0,5,0,0,0,0,5
"GUJARAT","2007",6,42,0,1,0,38,4,42,5,487,38,0,525,1,31,4,27,493
"HARYANA","2007",34,269,0,0,36,238,1,239,28,473,238,0,711,2,221,62,159,488
"HIMACHAL PRADESH","2007",1,8,0,0,1,5,0,5,3,25,5,0,30,0,4,1,3,26
"JAMMU & KASHMIR","2007",3,9,0,0,1,7,1,8,3,29,7,0,36,0,4,0,4,32
"JHARKHAND","2007",318,303,0,0,16,223,49,272,333,491,223,0,714,3,286,92,194,425
"KARNATAKA","2007",80,251,0,13,6,189,15,204,108,520,189,0,709,2,206,27,179,501
"KERALA","2007",26,27,0,0,1,27,1,28,24,138,27,0,165,0,28,4,24,137
"MADHYA PRADESH","2007",147,742,0,0,3,738,8,746,140,1628,738,0,2366,7,691,279,412,1668
"MAHARASHTRA","2007",85,436,0,1,1,376,1,377,142,3141,376,0,3517,2,286,30,256,3229
"MANIPUR","2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2007",6,2,0,0,0,1,2,3,5,3,1,0,4,0,0,0,0,4
"MIZORAM","2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2007",300,461,0,0,16,338,8,346,399,1108,338,0,1446,0,174,31,143,1272
"PUNJAB","2007",80,133,0,0,14,119,5,124,75,330,119,0,449,0,97,43,54,352
"RAJASTHAN","2007",39,439,0,0,94,330,2,332,52,1329,330,0,1659,3,244,118,126,1412
"SIKKIM","2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","2007",93,208,0,0,1,189,0,189,111,576,189,0,765,0,218,64,154,547
"TRIPURA","2007",19,36,0,0,0,21,1,22,33,69,21,0,90,0,31,11,20,59
"UTTAR PRADESH","2007",339,2076,0,0,154,1768,250,2018,243,6695,1768,0,8463,44,1472,739,733,6947
"UTTARAKHAND","2007",30,70,0,0,2,74,4,78,20,222,74,0,296,0,71,28,43,225
"WEST BENGAL","2007",282,451,0,0,0,459,20,479,254,1590,459,0,2049,0,355,46,309,1694
"TOTAL (STATES)","2007",4021,7950,0,15,503,6919,541,7460,3993,23435,6919,0,30354,84,5750,1886,3864,24520
"A & N ISLANDS","2007",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"CHANDIGARH","2007",2,1,0,0,0,2,0,2,1,10,2,0,12,0,4,3,1,8
"D & N HAVELI","2007",1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"DAMAN & DIU","2007",0,1,0,0,0,1,0,1,0,2,1,0,3,0,0,0,0,3
"DELHI","2007",71,138,0,0,1,123,7,130,78,721,123,0,844,0,139,56,83,705
"LAKSHADWEEP","2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2007",3,2,0,0,0,3,0,3,2,13,3,0,16,0,4,1,3,12
"TOTAL (UTs)","2007",77,143,0,0,1,129,7,136,83,748,129,0,877,0,147,60,87,730
"TOTAL (ALL-INDIA)","2007",4098,8093,0,15,504,7048,548,7596,4076,24183,7048,0,31231,84,5897,1946,3951,25250
"ANDHRA PRADESH","2008",273,556,0,0,36,471,29,500,293,1061,471,0,1532,0,449,67,382,1083
"ARUNACHAL PRADESH","2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","2008",161,103,0,0,1,83,8,91,172,208,83,0,291,0,44,20,24,247
"BIHAR","2008",1572,1210,0,0,122,783,131,914,1746,3426,783,0,4209,5,689,177,512,3515
"CHHATTISGARH","2008",6,106,0,0,0,92,0,92,20,309,92,0,401,1,76,25,51,324
"GOA","2008",3,2,0,0,0,3,0,3,2,5,3,0,8,0,0,0,0,8
"GUJARAT","2008",5,27,0,2,0,27,1,28,2,493,27,0,520,2,15,1,14,503
"HARYANA","2008",28,302,0,0,32,258,7,265,33,488,258,0,746,5,238,69,169,503
"HIMACHAL PRADESH","2008",3,3,0,0,0,5,0,5,1,26,5,0,31,0,8,3,5,23
"JAMMU & KASHMIR","2008",3,21,0,0,1,15,0,15,8,32,15,0,47,1,1,0,1,45
"JHARKHAND","2008",333,266,0,0,4,219,24,243,352,425,219,0,644,16,209,55,154,419
"KARNATAKA","2008",108,259,1,19,5,244,7,251,91,501,244,0,745,2,185,24,161,558
"KERALA","2008",24,31,0,0,1,25,1,26,28,137,25,0,162,0,11,2,9,151
"MADHYA PRADESH","2008",140,805,0,0,0,790,5,795,150,1668,790,0,2458,6,693,295,398,1759
"MAHARASHTRA","2008",142,390,0,1,2,397,4,401,128,3229,397,0,3626,1,277,24,253,3348
"MANIPUR","2008",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2008",5,2,0,0,0,1,2,3,4,4,1,0,5,0,0,0,0,5
"MIZORAM","2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2008",399,401,0,0,7,333,5,338,455,1272,333,0,1605,0,251,37,214,1354
"PUNJAB","2008",75,128,0,0,15,88,7,95,93,352,88,0,440,0,85,39,46,355
"RAJASTHAN","2008",52,439,0,0,90,348,3,351,50,1412,348,0,1760,10,259,121,138,1491
"SIKKIM","2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","2008",111,207,0,0,5,187,1,188,125,547,187,0,734,0,184,44,140,550
"TRIPURA","2008",33,16,0,0,0,31,0,31,18,59,31,0,90,0,15,2,13,75
"UTTAR PRADESH","2008",243,2237,0,0,159,1777,265,2042,279,6947,1777,0,8724,68,1719,870,849,6937
"UTTARAKHAND","2008",20,73,0,0,1,64,10,74,18,225,64,0,289,0,55,19,36,234
"WEST BENGAL","2008",254,451,0,0,0,339,11,350,355,1694,339,0,2033,0,330,40,290,1703
"TOTAL (STATES)","2008",3993,8036,1,22,481,6580,521,7101,4424,24520,6580,0,31100,117,5793,1934,3859,25190
"A & N ISLANDS","2008",1,2,0,0,0,2,0,2,1,1,2,0,3,0,0,0,0,3
"CHANDIGARH","2008",1,3,0,0,0,3,0,3,1,8,3,0,11,0,3,1,2,8
"D & N HAVELI","2008",1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"DAMAN & DIU","2008",0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,2,1
"DELHI","2008",78,129,2,0,0,115,1,116,89,705,115,0,820,0,26,13,13,794
"LAKSHADWEEP","2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2008",2,2,0,0,0,0,0,0,4,12,0,0,12,0,0,0,0,12
"TOTAL (UTs)","2008",83,136,2,0,0,120,1,121,96,730,120,0,850,0,31,14,17,819
"TOTAL (ALL-INDIA)","2008",4076,8172,3,22,481,6700,522,7222,4520,25250,6700,0,31950,117,5824,1948,3876,26009
"ANDHRA PRADESH","2009",293,546,0,0,26,500,4,504,309,1083,500,0,1583,0,440,62,378,1143
"ARUNACHAL PRADESH","2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","2009",172,170,0,1,7,95,23,118,216,247,95,0,342,0,44,20,24,298
"BIHAR","2009",1746,1295,0,0,136,705,201,906,1999,3515,705,0,4220,0,593,140,453,3627
"CHHATTISGARH","2009",20,128,0,0,0,136,0,136,12,324,136,0,460,3,101,31,70,356
"GOA","2009",2,3,0,0,0,2,0,2,3,8,2,0,10,0,2,0,2,8
"GUJARAT","2009",2,24,0,0,0,20,0,20,6,503,20,0,523,1,19,0,19,503
"HARYANA","2009",33,281,0,0,26,253,0,253,35,503,253,0,756,4,237,63,174,515
"HIMACHAL PRADESH","2009",1,1,0,0,0,2,0,2,0,23,2,0,25,0,4,1,3,21
"JAMMU & KASHMIR","2009",8,12,0,0,0,18,0,18,2,45,18,0,63,0,8,1,7,55
"JHARKHAND","2009",352,295,0,0,18,281,46,327,302,419,281,0,700,4,232,80,152,464
"KARNATAKA","2009",91,264,0,16,6,205,22,227,106,558,205,0,763,5,156,13,143,602
"KERALA","2009",28,20,0,0,0,21,0,21,27,151,21,0,172,0,21,2,19,151
"MADHYA PRADESH","2009",150,858,0,0,2,938,2,940,66,1759,938,0,2697,7,666,257,409,2024
"MAHARASHTRA","2009",128,341,0,0,2,334,1,335,132,3348,334,0,3682,7,223,30,193,3452
"MANIPUR","2009",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2009",4,0,0,0,0,0,0,0,4,5,0,0,5,0,0,0,0,5
"MIZORAM","2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2009",455,384,0,1,5,346,1,347,486,1354,346,0,1700,0,258,47,211,1442
"PUNJAB","2009",93,126,0,0,8,97,9,106,105,355,97,0,452,1,121,61,60,330
"RAJASTHAN","2009",50,436,0,0,104,331,5,336,46,1491,331,0,1822,31,228,93,135,1563
"SIKKIM","2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","2009",125,194,0,0,8,190,6,196,115,550,190,0,740,0,184,35,149,556
"TRIPURA","2009",18,29,0,0,0,27,4,31,16,75,27,0,102,0,21,7,14,81
"UTTAR PRADESH","2009",279,2232,0,0,158,1786,264,2050,303,6937,1786,0,8723,57,1670,823,847,6996
"UTTARAKHAND","2009",18,94,0,0,1,84,14,98,13,234,84,0,318,7,88,42,46,223
"WEST BENGAL","2009",355,506,0,1,0,372,8,380,480,1703,372,0,2075,0,229,36,193,1846
"TOTAL (STATES)","2009",4424,8239,0,19,507,6743,610,7353,4784,25190,6743,0,31933,127,5545,1844,3701,26261
"A & N ISLANDS","2009",1,1,0,0,0,1,0,1,1,3,1,0,4,0,0,0,0,4
"CHANDIGARH","2009",1,2,0,0,0,2,1,3,0,8,2,0,10,0,3,2,1,7
"D & N HAVELI","2009",1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"DAMAN & DIU","2009",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"DELHI","2009",89,141,0,0,4,144,9,153,73,794,144,0,938,0,78,35,43,860
"LAKSHADWEEP","2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2009",4,0,0,0,0,3,0,3,1,12,3,0,15,0,1,1,0,14
"TOTAL (UTs)","2009",96,144,0,0,4,150,10,160,76,819,150,0,969,0,82,38,44,887
"TOTAL (ALL-INDIA)","2009",4520,8383,0,19,511,6893,620,7513,4860,26009,6893,0,32902,127,5627,1882,3745,27148
"ANDHRA PRADESH","2010",309,588,0,3,17,543,3,546,331,1143,543,1,1685,8,502,80,422,1175
"ARUNACHAL PRADESH","2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","2010",216,175,0,1,6,132,36,168,216,298,132,0,430,0,58,13,45,372
"BIHAR","2010",1999,1257,0,0,82,831,80,911,2263,3627,831,0,4458,7,582,146,436,3869
"CHHATTISGARH","2010",12,115,0,0,1,108,0,108,18,356,108,0,464,0,78,31,47,386
"GOA","2010",3,1,0,0,0,0,0,0,4,8,0,0,8,0,2,1,1,6
"GUJARAT","2010",6,19,0,0,0,15,7,22,3,503,15,0,518,1,8,1,7,509
"HARYANA","2010",35,284,0,0,31,253,5,258,30,515,253,0,768,5,223,89,134,540
"HIMACHAL PRADESH","2010",0,2,0,0,0,2,0,2,0,21,2,0,23,0,1,0,1,22
"JAMMU & KASHMIR","2010",2,9,0,0,0,9,0,9,2,55,9,0,64,0,8,0,8,56
"JHARKHAND","2010",302,276,0,0,11,235,38,273,294,464,235,0,699,6,250,74,176,443
"KARNATAKA","2010",106,248,0,1,9,246,2,248,96,602,246,2,846,4,181,32,149,661
"KERALA","2010",27,22,0,0,0,26,6,32,17,151,26,0,177,0,13,1,12,164
"MADHYA PRADESH","2010",66,892,0,0,0,877,4,881,77,2024,877,0,2901,6,665,230,435,2230
"MAHARASHTRA","2010",132,393,0,0,3,401,4,405,117,3452,401,0,3853,3,329,22,307,3521
"MANIPUR","2010",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2010",4,0,0,0,0,0,0,0,4,5,0,0,5,0,0,0,0,5
"MIZORAM","2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2010",486,388,0,1,4,485,4,489,380,1442,485,0,1927,0,415,50,365,1512
"PUNJAB","2010",102,121,0,0,19,104,19,123,81,285,104,0,389,0,108,56,52,281
"RAJASTHAN","2010",46,462,0,0,86,347,5,352,70,1563,347,0,1910,16,231,100,131,1663
"SIKKIM","2010",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TAMIL NADU","2010",115,165,0,0,5,151,7,158,117,556,151,0,707,0,164,46,118,543
"TRIPURA","2010",16,25,0,0,0,23,0,23,18,81,23,0,104,0,18,3,15,86
"UTTAR PRADESH","2010",303,2217,0,0,165,1757,288,2045,310,6996,1757,0,8753,31,1831,992,839,6891
"UTTARAKHAND","2010",13,75,0,0,4,60,11,71,13,223,60,0,283,0,86,39,47,197
"WEST BENGAL","2010",480,507,0,0,0,486,7,493,494,1846,486,0,2332,3,229,24,205,2100
"TOTAL (STATES)","2010",4781,8242,0,6,443,7091,526,7617,4957,26216,7091,3,33304,90,5982,2030,3952,27232
"A & N ISLANDS","2010",1,0,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,4
"CHANDIGARH","2010",0,5,0,0,0,4,0,4,1,7,4,0,11,0,6,2,4,5
"D & N HAVELI","2010",1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"DAMAN & DIU","2010",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"DELHI","2010",73,143,0,0,0,136,3,139,77,860,136,0,996,0,131,27,104,865
"LAKSHADWEEP","2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2010",1,1,0,0,0,1,0,1,1,14,1,0,15,0,1,0,1,14
"TOTAL (UTs)","2010",76,149,0,0,0,141,3,144,81,887,141,0,1028,0,139,29,110,889
"TOTAL (ALL-INDIA)","2010",4857,8391,0,6,443,7232,529,7761,5038,27103,7232,3,34332,90,6121,2059,4062,28121
"ANDHRA PRADESH","2011",331,599,0,0,25,522,10,532,373,1175,522,0,1697,5,421,56,365,1271
"ARUNACHAL PRADESH","2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","2011",216,121,0,2,0,77,12,89,246,372,77,0,449,0,44,13,31,405
"BIHAR","2011",2263,1413,0,0,97,1454,340,1794,1785,3869,1454,0,5323,0,785,163,622,4538
"CHHATTISGARH","2011",18,104,0,0,0,110,3,113,9,386,110,0,496,0,67,26,41,429
"GOA","2011",4,1,0,0,0,2,0,2,3,6,2,0,8,0,0,0,0,8
"GUJARAT","2011",3,30,0,0,0,26,1,27,6,509,26,0,535,0,24,0,24,511
"HARYANA","2011",30,255,0,0,26,215,4,219,40,540,215,0,755,2,261,78,183,492
"HIMACHAL PRADESH","2011",0,4,0,0,0,3,0,3,1,22,3,0,25,0,2,0,2,23
"JAMMU & KASHMIR","2011",2,11,0,0,0,4,1,5,8,56,4,0,60,0,6,0,6,54
"JHARKHAND","2011",276,282,0,0,9,228,31,259,290,433,228,0,661,1,166,63,103,494
"KARNATAKA","2011",96,267,0,1,13,265,5,270,79,661,265,0,926,2,199,36,163,725
"KERALA","2011",17,15,0,0,1,16,0,16,15,164,16,0,180,0,6,1,5,174
"MADHYA PRADESH","2011",77,811,0,0,0,797,1,798,90,2230,797,0,3027,35,821,332,489,2171
"MAHARASHTRA","2011",117,339,0,0,1,359,2,361,94,3521,359,0,3880,5,215,33,182,3660
"MANIPUR","2011",1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2011",4,1,0,0,0,1,0,1,4,5,1,0,6,0,0,0,0,6
"MIZORAM","2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2011",380,465,0,0,4,406,3,409,432,1512,406,0,1918,0,345,49,296,1573
"PUNJAB","2011",81,143,0,0,12,119,5,124,88,281,119,0,400,0,95,48,47,305
"RAJASTHAN","2011",70,514,0,0,139,380,1,381,64,1663,380,0,2043,14,269,105,164,1760
"SIKKIM","2011",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TAMIL NADU","2011",117,152,0,0,6,113,2,115,148,543,113,0,656,0,107,26,81,549
"TRIPURA","2011",18,30,0,0,0,37,2,39,9,86,37,0,123,0,10,5,5,113
"UTTAR PRADESH","2011",310,2322,0,0,175,1892,238,2130,327,6891,1892,0,8783,22,1809,1024,785,6952
"UTTARAKHAND","2011",13,83,0,0,4,75,2,77,15,197,75,0,272,0,43,12,31,229
"WEST BENGAL","2011",494,510,0,1,1,461,5,466,536,2100,461,0,2561,0,237,41,196,2324
"TOTAL (STATES)","2011",4939,8473,0,4,513,7562,668,8230,4665,27222,7562,0,34784,86,5932,2111,3821,28766
"A & N ISLANDS","2011",1,0,0,0,0,1,0,1,0,4,1,0,5,0,0,0,0,5
"CHANDIGARH","2011",1,2,0,0,0,0,0,0,3,5,0,0,5,0,2,1,1,3
"D & N HAVELI","2011",1,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,0,2
"DAMAN & DIU","2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","2011",77,142,0,0,2,130,3,133,84,865,130,0,995,0,116,51,65,879
"LAKSHADWEEP","2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2011",1,1,0,0,0,0,0,0,2,14,0,0,14,0,0,0,0,14
"TOTAL (UTs)","2011",81,145,0,0,2,132,3,135,89,889,132,0,1021,0,118,52,66,903
"TOTAL (ALL-INDIA)","2011",5020,8618,0,4,515,7694,671,8365,4754,28111,7694,0,35805,86,6050,2163,3887,29669
"ANDHRA PRADESH","2012",373,504,0,0,24,532,9,541,312,1271,532,0,1803,1,495,55,440,1307
"ARUNACHAL PRADESH","2012",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASSAM","2012",246,140,0,3,7,85,26,111,265,405,85,0,490,0,25,10,15,465
"BIHAR","2012",1785,1275,0,0,190,1349,122,1471,1399,4538,1349,0,5887,0,543,164,379,5344
"CHHATTISGARH","2012",9,81,0,0,0,81,1,82,8,429,81,0,510,10,86,40,46,414
"GOA","2012",3,0,0,0,0,1,1,2,1,8,1,0,9,0,0,0,0,9
"GUJARAT","2012",6,21,0,0,0,22,0,22,5,511,22,0,533,0,30,0,30,503
"HARYANA","2012",40,258,0,0,30,231,3,234,34,492,231,0,723,0,256,69,187,467
"HIMACHAL PRADESH","2012",1,2,0,0,1,2,0,2,0,23,2,0,25,0,3,0,3,22
"JAMMU & KASHMIR","2012",8,8,0,0,1,13,0,13,2,54,13,0,67,0,7,1,6,60
"JHARKHAND","2012",290,302,0,0,7,252,32,284,301,494,252,0,746,3,216,87,129,527
"KARNATAKA","2012",79,218,0,2,8,216,1,217,70,725,216,0,941,3,170,33,137,768
"KERALA","2012",15,32,0,0,0,21,1,22,25,174,21,0,195,1,12,2,10,182
"MADHYA PRADESH","2012",90,743,0,0,0,762,2,764,69,2171,762,0,2933,24,572,188,384,2337
"MAHARASHTRA","2012",94,329,0,0,4,297,8,305,114,3660,297,0,3957,4,189,32,157,3764
"MANIPUR","2012",2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2012",4,1,0,0,0,0,0,0,5,6,0,0,6,0,0,0,0,6
"MIZORAM","2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2012",432,525,0,1,14,494,4,498,444,1573,494,0,2067,0,290,24,266,1777
"PUNJAB","2012",88,118,0,0,8,95,5,100,98,305,95,0,400,0,99,46,53,301
"RAJASTHAN","2012",64,478,0,0,100,357,2,359,83,1760,357,0,2117,19,235,95,140,1863
"SIKKIM","2012",1,1,0,0,0,2,0,2,0,0,2,0,2,0,0,0,0,2
"TAMIL NADU","2012",148,110,0,0,0,124,3,127,131,549,124,0,673,0,108,20,88,565
"TRIPURA","2012",9,37,0,0,0,27,0,27,19,113,27,0,140,0,22,5,17,118
"UTTAR PRADESH","2012",327,2244,0,0,145,1785,241,2026,400,6952,1785,0,8737,37,1265,619,646,7435
"UTTARAKHAND","2012",15,71,0,0,3,64,8,72,11,229,64,0,293,0,121,90,31,172
"WEST BENGAL","2012",536,593,0,1,1,575,14,589,538,2324,575,0,2899,0,334,41,293,2565
"TOTAL (STATES)","2012",4665,8092,0,7,543,7387,483,7870,4337,28766,7387,0,36153,102,5078,1621,3457,30973
"A & N ISLANDS","2012",0,2,0,0,0,1,0,1,1,5,1,0,6,0,0,0,0,6
"CHANDIGARH","2012",3,5,0,0,0,7,0,7,1,3,7,0,10,0,4,1,3,6
"D & N HAVELI","2012",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2
"DAMAN & DIU","2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","2012",84,134,0,0,2,141,2,143,73,879,141,0,1020,0,133,62,71,887
"LAKSHADWEEP","2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2012",2,0,0,0,0,1,0,1,1,14,1,0,15,0,1,0,1,14
"TOTAL (UTs)","2012",89,141,0,0,2,150,2,152,76,903,150,0,1053,0,138,63,75,915
"TOTAL (ALL-INDIA)","2012",4754,8233,0,7,545,7537,485,8022,4413,29669,7537,0,37206,102,5216,1684,3532,31888
